How many years of experience do you have with programming puppet?;If you had to judge a piece of puppet code (file or module) on its quality, what would you look for?;Could you give some examples of bad practices in puppet code?;What aspects do you take into account when selecting a puppet module from GitHub or Puppet Forge?;"<strong>How do you decide what <span style=""font-size: 12pt;"">goes</span> into Hiera and what doesn’t?</strong>";What is your biggest problem when programming puppet?
Response;Open-Ended Response;Open-Ended Response;Open-Ended Response;Open-Ended Response;Open-Ended Response
Less than one year;"To judge a piece of puppet code, I'd start looking for how many ""exec"" command there are and if they could be replaced by a better alternative.";As I commented at point #2, a bad practise consists on using exec commands instead of the right syntax. The exec command must be used only if there is no other alternative.;I take into account:  - If it is an official module  - If it is updated frequently  - If it works as it should do  - If it's a clean piece of code or not;I haven't needed to use Hiera until now.;The biggest problem you find when you starts is how to use modules written by other ones, but once you get experience and you use one of them successfully it's easy.
3 - 4 years;Adherence to the Puppet Style Guide, documentation, resource relationships;Not adhering to the Puppet style guide.  Not organized - e.g. lack of abstraction, too much abstraction.  Current best practices.;"Same as what I mentioned in the ""judge a piece of puppet code on quality.""  Documented.  Author's reputation.  Module completeness, tests.";What data is differentiated based on some variable (e.g. datacenter, environment).  Don't make Hiera a DSL for the Puppet DSL - e.g. try not to declare resources in Hiera.;
3 - 4 years;consistent formatting, simplicity, and an absolute minimum of exec statements.;declaring classes outside of site.pp/nodes.pp/ENC. Using execs where standard resources would suffice. Only testing modules for eventual consistency instead of first-run consistency.;number of downloads, author, puppet supported, simple interface, and supports my platform.;class parameters, variables that are different between hosts, secrets (passwords & api keys), and complex data structures go in hiera.;poor data discovery mechanisms. I want to be able to put exec output in a variable.
1 - 2 years;Documentation, compliance with common conventions and programming practices, evidence of testing on at least one non-Linux platform, evidence that the person who wrote the module actually understood the underlying design and functionality of the service, rather than merely encapsulating their one specific use case;Hard-coded defaults for operating-system-specific values, path names, service names, etc.  Failure to use the hiera-module-data pattern when it would be clearly appropriate.;Whether it's clear from the documentation that the author understood cross-platform programming and the underlying service itself sufficiently that using the module would be significantly less work than writing our own.;Any literal value (string, numeric, or boolean) that plausibly varies from one node to another, such that the variation is adequately captured without inordinate levels of repetition by Hiera's data model should go into Hiera.;"Module composition is made unnecessarily difficult by the ""once and only once"" resource instantiation rules.  It should be possible to instantiate resources multiple times and have provider-specific code handle merging them into a single instance when possible.    The error messages are pretty awful.    The DSL has too many gratuitous differences from Ruby syntax.    Lots of things that ought to be standard, aren't, making it difficult to write truly portable and reusable modules even when one is aware of the underlying issues."
3 - 4 years;Tests + CI integration;Huge monolithic blobs for configuring nodes and networks in just one file! It starts off harmless but ends up a real pain over time.;Stargazers, tests, recent updates;Not explicit atm.;It's custom DSL and tricky dependency resolution.
3 - 4 years;custom types, not so many execs;5 execs to do something , or run again still changes something or give some output;popular or not;everything which is host specific, and not global or environment;understanding the modules , what it does? , always need to look at the code instead of the readme
3 - 4 years;Readability, adherence to style guides, appropriate organization of code into classes and modules, use of a params class, separation of data from code, sparing and responsible use of exec resources, good comments and documentation, good test coverage. See also: https://forge.puppetlabs.com/approved/criteria;Mixture of site specific data into code, overuse of the exec resource, use of puppet 4 parser language functions such as iteration when it is unnecessary and reduces readability;I generally use heuristics that keep me from selecting modules based on code. I will speak with our operations team to find which modules we're already using for similar applications (and I work at Puppet, so I imagine their taste in modules is generally good!). If I can't go by what we're already using, I will generally make a selection based puppet supported or approved criteria.;Anything site-specific should go into Hiera. If you gave your code to a different organization, what would they have to change to get it to work? Put that in Hiera.;Forgetting commas! :)
1 - 2 years;"Documentation and how the classes are laid out (ie. install/config/service classes; if there's a params.pp for OS-specific data; how much external dependencies the module needs, both in terms of other modules and whether it assumes URLs for packages or package repos set up beforehand; whether the module wants to manage some other piece of software to support the software it sets up and if it lets you choose whether it manages the extra software (ie. module for a web app managing Apache for you and not giving you the option to disable it, as you may be using another Apache Puppet module already).";"Excessive usage of exec resources; use of chaining arrows on multiple resources that refresh or notify the same downstream resource (the notifying resources should be contained in a class and the entire class refreshes the downstream resource or class); not using a params.pp for OS-specific data";Whether it's been recently updated, has documentation and has CentOS/Debian/Ubuntu OS support;"Company or organization specific data goes into Hiera; OS or platform specific data generally does not (it's easier and makes modules more portable if these are in a params.pp)";Lack of details from the Puppet master and agent when Ruby-based errors occur, especially with types/providers.
1 - 2 years;In order of importance: Focus. Smoke tests. Documentation.;;In order of importance: Date of last commit. Number of open issues. Number of stars. Number of forks.;Data goes in Hiera. Code goes in Puppet.;Testing, testing, testing.
More than 5 years;"""Lint"" type items, like aligning arrows, indicate an attention to detail that I like.  It should be idempotent.  Extra points if it's well commented.";Using an exec resource where a native type would have done the job just as well.  Hardcoding variables, when a class/type parameter could have been used.;How long it's been since the most recent update.  How many other projects the author has.  Whether multiple authors are collaborating to make it better.;I imagine I'm going to share my module with others, and anything that I'd have to redact because it's specific to my business belongs in Hiera, not code.;"Typos are the bane of my programming existence and are about half of the ""puppet problems"" I have."
